usage_date,attraction,attendance,branch
2024-01-01,Alice in Wonderland,119,Disneyland_California
2024-01-02,Alice in Wonderland,889,Disneyland_California
2024-01-03,Alice in Wonderland,621,Disneyland_California
2024-01-04,Alice in Wonderland,749,Disneyland_California
2024-01-05,Alice in Wonderland,171,Disneyland_California
2024-01-06,Alice in Wonderland,474,Disneyland_California
2024-01-07,Alice in Wonderland,349,Disneyland_California
2024-01-08,Alice in Wonderland,848,Disneyland_California
2024-01-09,Alice in Wonderland,674,Disneyland_California
2024-01-10,Alice in Wonderland,990,Disneyland_California
2024-01-11,Alice in Wonderland,207,Disneyland_California
2024-01-12,Alice in Wonderland,625,Disneyland_California
2024-01-13,Alice in Wonderland,367,Disneyland_California
2024-01-14,Alice in Wonderland,114,Disneyland_California
2024-01-15,Alice in Wonderland,862,Disneyland_California
2024-01-16,Alice in Wonderland,592,Disneyland_California
2024-01-17,Alice in Wonderland,419,Disneyland_California
2024-01-18,Alice in Wonderland,113,Disneyland_California
2024-01-19,Alice in Wonderland,480,Disneyland_California
2024-01-20,Alice in Wonderland,1000,Disneyland_California
2024-01-21,Alice in Wonderland,132,Disneyland_California
2024-01-22,Alice in Wonderland,913,Disneyland_California
2024-01-23,Alice in Wonderland,947,Disneyland_California
2024-01-24,Alice in Wonderland,240,Disneyland_California
2024-01-25,Alice in Wonderland,219,Disneyland_California
2024-01-26,Alice in Wonderland,517,Disneyland_California
2024-01-27,Alice in Wonderland,473,Disneyland_California
2024-01-28,Alice in Wonderland,932,Disneyland_California
2024-01-29,Alice in Wonderland,757,Disneyland_California
2024-01-30,Alice in Wonderland,965,Disneyland_California
2024-01-31,Alice in Wonderland,797,Disneyland_California
2024-02-01,Alice in Wonderland,144,Disneyland_California
2024-02-02,Alice in Wonderland,631,Disneyland_California
2024-02-03,Alice in Wonderland,436,Disneyland_California
2024-02-04,Alice in Wonderland,748,Disneyland_California
2024-02-05,Alice in Wonderland,233,Disneyland_California
2024-02-06,Alice in Wonderland,456,Disneyland_California
2024-02-07,Alice in Wonderland,909,Disneyland_California
2024-02-08,Alice in Wonderland,362,Disneyland_California
2024-02-09,Alice in Wonderland,892,Disneyland_California
2024-02-10,Alice in Wonderland,821,Disneyland_California
